cpus=16
          <idle>-0     [013]  4601.088146: funcgraph_entry:      + 78.017 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4601.088841: funcgraph_entry:      + 15.403 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4601.089508: funcgraph_entry:      + 14.949 us  |  blk_mq_complete_request();
          <idle>-0     [002]  4604.903475: funcgraph_entry:      + 23.434 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4606.094601: funcgraph_entry:      + 26.415 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4606.095244: funcgraph_entry:      + 15.797 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4606.095862: funcgraph_entry:      + 13.205 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4611.101754: funcgraph_entry:      + 36.565 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4611.102270: funcgraph_entry:        9.889 us   |  blk_mq_complete_request();
          <idle>-0     [013]  4611.102791: funcgraph_entry:      + 22.973 us  |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560211: funcgraph_entry:      + 20.501 us  |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560231: funcgraph_entry:        3.893 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560236: funcgraph_entry:        2.772 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560239: funcgraph_entry:        2.676 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560243: funcgraph_entry:        2.921 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560246: funcgraph_entry:        2.663 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560249: funcgraph_entry:        2.737 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560253: funcgraph_entry:      + 11.096 us  |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560803: funcgraph_entry:      + 12.489 us  |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560815: funcgraph_entry:        2.710 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560818: funcgraph_entry:        2.740 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560822: funcgraph_entry:        2.716 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560825: funcgraph_entry:        2.600 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560828: funcgraph_entry:        3.839 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560833: funcgraph_entry:        6.252 us   |  blk_mq_complete_request();
          <idle>-0     [010]  4611.560840: funcgraph_entry:        5.607 us   |  blk_mq_complete_request();
          <idle>-0     [013]  4616.109174: funcgraph_entry:      + 31.897 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4616.109900: funcgraph_entry:      + 15.800 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4616.110463: funcgraph_entry:      + 13.050 us  |  blk_mq_complete_request();
          <idle>-0     [015]  4620.944112: funcgraph_entry:      + 28.927 us  |  blk_mq_complete_request();
          <idle>-0     [015]  4620.944590: funcgraph_entry:      + 19.533 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4620.944695: funcgraph_entry:        8.086 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4620.945275: funcgraph_entry:        9.576 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4620.945706: funcgraph_entry:        9.556 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4620.946442: funcgraph_entry:        8.587 us   |  blk_mq_complete_request();
